Title,Address,Rent,Admin Fee,Area,Rooms,Bathrooms,Parking
  Apartamento com  Quarto para Venda/Aluguel 48m²  ,"Rua Luís Coelho, , 80 - Consolação, São Paulo - SP",R$ 1.605 /Mês,R$ 1.795,48 m²,1,1,1
"  Apartamento com 2 Quartos para Aluguel, 56m²  ","Rua Comendador Miguel Calfat, 62 - Vila Nova Conceição, São Paulo - SP",R$ 2.000 /Mês,R$ 755,56 m²,2,2,1
"  Apartamento com 3 Quartos para Aluguel, 66m²  ","Avenida Padre Manoel da Nóbrega, 355 - Jardim García, Campinas - SP",R$ 950 /Mês,R$ 491,66 m²,3,2,1
"  Apartamento com 2 Quartos para Aluguel, 90m²  ","Rua 288 - Meia Praia, Itapema - SC",R$ 450 /Dia,,90 m²,2,2,1
"  Apartamento com 3 Quartos para Aluguel, 115m²  ","Rua General Urquiza - Leblon, Rio de Janeiro - RJ",R$ 6.000 /Mês,R$ 750,115 m²,3,3,1
"  Apartamento com  Quarto para Aluguel, 40m²  ","Rua Padre Carvalho, 348 - Pinheiros, São Paulo - SP",R$ 4.208 /Mês,R$ 801,40 m²,1,1,1
  Casa com 5 Quartos para Venda/Aluguel 390m²  ,"Rua Noruega, 97 - Jardim Europa, São Paulo - SP",R$ 36.000 /Mês,,390 m²,5,7,4
"  Apartamento com 3 Quartos para Aluguel, 156m²  ","Avenida João Carlos Machado, 501 - Barra da Tijuca, Rio de Janeiro - RJ",R$ 4.000 /Mês,R$ 1.630,156 m²,3,2,2
"  Apartamento com 2 Quartos para Aluguel, 83m²  ","Rua Mário Agostinelli, 50 - Jacarepaguá, Rio de Janeiro - RJ",R$ 2.200 /Mês,R$ 1.450,83 m²,2,3,1
"  Apartamento com  Quarto para Aluguel, 43m²  ","Rua Bela Cintra, 167 - Consolação, São Paulo - SP",R$ 1.749 /Mês,R$ 728,43 m²,1,1,1
"  Apartamento com  Quarto para Aluguel, 47m²  ","Rua Paula Freitas, 33 - Copacabana, Rio de Janeiro - RJ",R$ 1.900 /Mês,R$ 613,47 m²,1,1,--
"  Apartamento com  Quarto para Aluguel, 31m²  ","Rua Torres da Barra, 275 - Água Branca, São Paulo - SP",R$ 1.300 /Mês,R$ 400,31 m²,1,1,--
"  Apartamento com 2 Quartos para Aluguel, 74m²  ","Praia Botafogo, 472 - Botafogo, Rio de Janeiro - RJ",R$ 3.200 /Mês,R$ 710,74 m²,2,2,1
"  Apartamento com 2 Quartos para Aluguel, 56m²  ","Rua São Venceslau, 243 - Vila Guarani (Z Sul), São Paulo - SP",R$ 1.600 /Mês,R$ 730,56 m²,2,2,1
  Apartamento com 3 Quartos para Venda/Aluguel 150m²  ,"Avenida da Invernada, 450 - Vila Congonhas, São Paulo - SP",R$ 4.800 /Mês,R$ 1.650,150 m²,3,4,2
"  Flat com  Quarto para Aluguel, 28m²  ","Rua Bela Cintra, 672 - Consolação, São Paulo - SP",R$ 1.500 /Mês,R$ 800,28 m²,1,1,1
"  Apartamento com 2 Quartos para Aluguel, 66m²  ","Avenida Prefeito Dulcídio Cardoso - Barra da Tijuca, Rio de Janeiro - RJ",R$ 2.300 /Mês,R$ 1.171,66 m²,2,1,1
"  Apartamento com 3 Quartos para Aluguel, 210m²  ","Rua Timóteo da Costa, 815 - Leblon, Rio de Janeiro - RJ",R$ 12.000 /Mês,R$ 1.817,210 m²,3,4,3
  Apartamento com 2 Quartos à Venda/Aluguel 65m²  ,"Avenida Dioguinho, 4740 - Praia do Futuro II, Fortaleza - CE",R$ 180 /Dia,R$ 550,65 m²,2,2,2
"  Apartamento com  Quarto para Aluguel, 57m²  ","Rua Clóvis Bevilacqua, 227 - Jardim Brasil, Campinas - SP",R$ 1.700 /Mês,R$ 580,57 m²,1,1,2
"  Apartamento com 3 Quartos para Aluguel, 75m²  ","Rua Orlando Calixto, 92 - Parque Independência, São Paulo - SP",R$ 1.700 /Mês,R$ 705,75 m²,3,2,2
  Sala/Conjunto com  Quarto à Venda/Aluguel 42m²  ,"Rua Trajano, 182 - Lapa, São Paulo - SP",R$ 1.000 /Mês,,42 m²,1,1,1
"  Apartamento com  Quarto para Aluguel, 29m²  ","Rua Pedro Ivo - Centro, Curitiba - PR",R$ 1.100 /Mês,R$ 200,29 m²,1,1,--
"  Apartamento com 2 Quartos para Aluguel, 50m²  ","Rua Iguaré, 72 - Tatuapé, São Paulo - SP",R$ 1.200 /Mês,R$ 470,50 m²,2,1,1
  Apartamento com  Quarto para Venda/Aluguel 38m²  ,"Rua Doutor João Palma Travassos - Jardim Palma Travassos, Ribeirão Preto - SP",R$ 2.500 /Mês,R$ 360,38 m²,1,1,1
"  Casa com  Quarto para Aluguel, 35m²  ","Rua Soldado João Rodrigues, 112 - Jardim Japão, São Paulo - SP",R$ 750 /Mês,,35 m²,1,1,--
"  Apartamento com 3 Quartos para Aluguel, 112m²  ","Rua Senador Amaral, 260 - Comiteco, Belo Horizonte - MG",R$ 3.190 /Mês,R$ 380,112 m²,3,2,2
"  Apartamento com 2 Quartos para Aluguel, 45m²  ","Rua das Perobeiras - Chácara Santa Maria, São Paulo - SP",R$ 900 /Mês,,45 m²,2,1,1
"  Apartamento com 3 Quartos para Aluguel, 120m²  ","Praça Pirandelo, 21 - Jardim Guanabara, Rio de Janeiro - RJ",R$ 2.800 /Mês,R$ 400,120 m²,3,4,3
"  Apartamento com  Quarto para Aluguel, 56m²  ","Rua Júlio Diniz, 145 - Vila Olímpia, São Paulo - SP",R$ 2.150 /Mês,R$ 753,56 m²,1,2,1
"  Apartamento com 2 Quartos para Aluguel, 77m²  ","Rua Alves Guimarães, 733 - Pinheiros, São Paulo - SP",R$ 3.600 /Mês,R$ 1.180,77 m²,2,3,1
  Flat com  Quarto para Venda/Aluguel 26m²  ,"Avenida Sabiá, , 825 - Indianópolis, São Paulo - SP",R$ 2.000 /Mês,R$ 1.600,26 m²,1,1,1
"  Apartamento com 2 Quartos para Aluguel, 59m²  ","Rua Sapucaí, 210 - Gramado, Cotia - SP",R$ 1.900 /Mês,R$ 560,59 m²,2,2,1
"  Apartamento com  Quarto para Aluguel, 39m²  ","Rua Bartolomeu Portela, 25 - Botafogo, Rio de Janeiro - RJ",R$ 1.500 /Mês,R$ 1.150,39 m²,1,1,1
"  Apartamento com  Quarto para Aluguel, 56m²  ","Rua Carlos Sampaio, 157 - Bela Vista, São Paulo - SP",R$ 1.660 /Mês,R$ 1.550,56 m²,1,1,1
"  Apartamento com 3 Quartos para Aluguel, 72m²  ","Avenida Engenheiro Heitor Antônio Eiras Garcia, 400 - Jardim Esmeralda, São Paulo - SP",R$ 1.400 /Mês,R$ 618,72 m²,3,1,1
  Apartamento com  Quarto para Venda/Aluguel 48m²  ,"Rua Luís Coelho, , 80 - Consolação, São Paulo - SP",R$ 1.605 /Mês,R$ 1.795,48 m²,1,1,1
"  Apartamento com 2 Quartos para Aluguel, 56m²  ","Rua Comendador Miguel Calfat, 62 - Vila Nova Conceição, São Paulo - SP",R$ 2.000 /Mês,R$ 755,56 m²,2,2,1
"  Apartamento com 3 Quartos para Aluguel, 66m²  ","Avenida Padre Manoel da Nóbrega, 355 - Jardim García, Campinas - SP",R$ 950 /Mês,R$ 491,66 m²,3,2,1
"  Apartamento com 2 Quartos para Aluguel, 90m²  ","Rua 288 - Meia Praia, Itapema - SC",R$ 450 /Dia,,90 m²,2,2,1
"  Apartamento com 3 Quartos para Aluguel, 115m²  ","Rua General Urquiza - Leblon, Rio de Janeiro - RJ",R$ 6.000 /Mês,R$ 750,115 m²,3,3,1
"  Apartamento com  Quarto para Aluguel, 40m²  ","Rua Padre Carvalho, 348 - Pinheiros, São Paulo - SP",R$ 4.208 /Mês,R$ 801,40 m²,1,1,1
  Casa com 5 Quartos para Venda/Aluguel 390m²  ,"Rua Noruega, 97 - Jardim Europa, São Paulo - SP",R$ 36.000 /Mês,,390 m²,5,7,4
"  Apartamento com 3 Quartos para Aluguel, 156m²  ","Avenida João Carlos Machado, 501 - Barra da Tijuca, Rio de Janeiro - RJ",R$ 4.000 /Mês,R$ 1.630,156 m²,3,2,2
"  Apartamento com 2 Quartos para Aluguel, 83m²  ","Rua Mário Agostinelli, 50 - Jacarepaguá, Rio de Janeiro - RJ",R$ 2.200 /Mês,R$ 1.450,83 m²,2,3,1
"  Apartamento com  Quarto para Aluguel, 43m²  ","Rua Bela Cintra, 167 - Consolação, São Paulo - SP",R$ 1.749 /Mês,R$ 728,43 m²,1,1,1
"  Apartamento com  Quarto para Aluguel, 47m²  ","Rua Paula Freitas, 33 - Copacabana, Rio de Janeiro - RJ",R$ 1.900 /Mês,R$ 613,47 m²,1,1,--
"  Apartamento com  Quarto para Aluguel, 31m²  ","Rua Torres da Barra, 275 - Água Branca, São Paulo - SP",R$ 1.300 /Mês,R$ 400,31 m²,1,1,--
"  Apartamento com 2 Quartos para Aluguel, 74m²  ","Praia Botafogo, 472 - Botafogo, Rio de Janeiro - RJ",R$ 3.200 /Mês,R$ 710,74 m²,2,2,1
"  Apartamento com 2 Quartos para Aluguel, 56m²  ","Rua São Venceslau, 243 - Vila Guarani (Z Sul), São Paulo - SP",R$ 1.600 /Mês,R$ 730,56 m²,2,2,1
  Apartamento com 3 Quartos para Venda/Aluguel 150m²  ,"Avenida da Invernada, 450 - Vila Congonhas, São Paulo - SP",R$ 4.800 /Mês,R$ 1.650,150 m²,3,4,2
"  Flat com  Quarto para Aluguel, 28m²  ","Rua Bela Cintra, 672 - Consolação, São Paulo - SP",R$ 1.500 /Mês,R$ 800,28 m²,1,1,1
"  Apartamento com 2 Quartos para Aluguel, 66m²  ","Avenida Prefeito Dulcídio Cardoso - Barra da Tijuca, Rio de Janeiro - RJ",R$ 2.300 /Mês,R$ 1.171,66 m²,2,1,1
"  Apartamento com 3 Quartos para Aluguel, 210m²  ","Rua Timóteo da Costa, 815 - Leblon, Rio de Janeiro - RJ",R$ 12.000 /Mês,R$ 1.817,210 m²,3,4,3
  Apartamento com 2 Quartos à Venda/Aluguel 65m²  ,"Avenida Dioguinho, 4740 - Praia do Futuro II, Fortaleza - CE",R$ 180 /Dia,R$ 550,65 m²,2,2,2
"  Apartamento com  Quarto para Aluguel, 57m²  ","Rua Clóvis Bevilacqua, 227 - Jardim Brasil, Campinas - SP",R$ 1.700 /Mês,R$ 580,57 m²,1,1,2
"  Apartamento com 3 Quartos para Aluguel, 75m²  ","Rua Orlando Calixto, 92 - Parque Independência, São Paulo - SP",R$ 1.700 /Mês,R$ 705,75 m²,3,2,2
  Sala/Conjunto com  Quarto à Venda/Aluguel 42m²  ,"Rua Trajano, 182 - Lapa, São Paulo - SP",R$ 1.000 /Mês,,42 m²,1,1,1
"  Apartamento com  Quarto para Aluguel, 29m²  ","Rua Pedro Ivo - Centro, Curitiba - PR",R$ 1.100 /Mês,R$ 200,29 m²,1,1,--
"  Apartamento com 2 Quartos para Aluguel, 50m²  ","Rua Iguaré, 72 - Tatuapé, São Paulo - SP",R$ 1.200 /Mês,R$ 470,50 m²,2,1,1
  Apartamento com  Quarto para Venda/Aluguel 38m²  ,"Rua Doutor João Palma Travassos - Jardim Palma Travassos, Ribeirão Preto - SP",R$ 2.500 /Mês,R$ 360,38 m²,1,1,1
"  Casa com  Quarto para Aluguel, 35m²  ","Rua Soldado João Rodrigues, 112 - Jardim Japão, São Paulo - SP",R$ 750 /Mês,,35 m²,1,1,--
"  Apartamento com 3 Quartos para Aluguel, 112m²  ","Rua Senador Amaral, 260 - Comiteco, Belo Horizonte - MG",R$ 3.190 /Mês,R$ 380,112 m²,3,2,2
"  Apartamento com 2 Quartos para Aluguel, 45m²  ","Rua das Perobeiras - Chácara Santa Maria, São Paulo - SP",R$ 900 /Mês,,45 m²,2,1,1
"  Apartamento com 3 Quartos para Aluguel, 120m²  ","Praça Pirandelo, 21 - Jardim Guanabara, Rio de Janeiro - RJ",R$ 2.800 /Mês,R$ 400,120 m²,3,4,3
"  Apartamento com  Quarto para Aluguel, 56m²  ","Rua Júlio Diniz, 145 - Vila Olímpia, São Paulo - SP",R$ 2.150 /Mês,R$ 753,56 m²,1,2,1
"  Apartamento com 2 Quartos para Aluguel, 77m²  ","Rua Alves Guimarães, 733 - Pinheiros, São Paulo - SP",R$ 3.600 /Mês,R$ 1.180,77 m²,2,3,1
  Flat com  Quarto para Venda/Aluguel 26m²  ,"Avenida Sabiá, , 825 - Indianópolis, São Paulo - SP",R$ 2.000 /Mês,R$ 1.600,26 m²,1,1,1
"  Apartamento com 2 Quartos para Aluguel, 59m²  ","Rua Sapucaí, 210 - Gramado, Cotia - SP",R$ 1.900 /Mês,R$ 560,59 m²,2,2,1
"  Apartamento com  Quarto para Aluguel, 39m²  ","Rua Bartolomeu Portela, 25 - Botafogo, Rio de Janeiro - RJ",R$ 1.500 /Mês,R$ 1.150,39 m²,1,1,1
"  Apartamento com  Quarto para Aluguel, 56m²  ","Rua Carlos Sampaio, 157 - Bela Vista, São Paulo - SP",R$ 1.660 /Mês,R$ 1.550,56 m²,1,1,1
"  Apartamento com 3 Quartos para Aluguel, 72m²  ","Avenida Engenheiro Heitor Antônio Eiras Garcia, 400 - Jardim Esmeralda, São Paulo - SP",R$ 1.400 /Mês,R$ 618,72 m²,3,1,1
  Apartamento com  Quarto para Venda/Aluguel 48m²  ,"Rua Luís Coelho, , 80 - Consolação, São Paulo - SP",R$ 1.605 /Mês,R$ 1.795,48 m²,1,1,1
"  Apartamento com 2 Quartos para Aluguel, 56m²  ","Rua Comendador Miguel Calfat, 62 - Vila Nova Conceição, São Paulo - SP",R$ 2.000 /Mês,R$ 755,56 m²,2,2,1
"  Apartamento com 3 Quartos para Aluguel, 66m²  ","Avenida Padre Manoel da Nóbrega, 355 - Jardim García, Campinas - SP",R$ 950 /Mês,R$ 491,66 m²,3,2,1
"  Apartamento com 2 Quartos para Aluguel, 90m²  ","Rua 288 - Meia Praia, Itapema - SC",R$ 450 /Dia,,90 m²,2,2,1
"  Apartamento com 3 Quartos para Aluguel, 115m²  ","Rua General Urquiza - Leblon, Rio de Janeiro - RJ",R$ 6.000 /Mês,R$ 750,115 m²,3,3,1
"  Apartamento com  Quarto para Aluguel, 40m²  ","Rua Padre Carvalho, 348 - Pinheiros, São Paulo - SP",R$ 4.208 /Mês,R$ 801,40 m²,1,1,1
  Casa com 5 Quartos para Venda/Aluguel 390m²  ,"Rua Noruega, 97 - Jardim Europa, São Paulo - SP",R$ 36.000 /Mês,,390 m²,5,7,4
"  Apartamento com 3 Quartos para Aluguel, 156m²  ","Avenida João Carlos Machado, 501 - Barra da Tijuca, Rio de Janeiro - RJ",R$ 4.000 /Mês,R$ 1.630,156 m²,3,2,2
"  Apartamento com 2 Quartos para Aluguel, 83m²  ","Rua Mário Agostinelli, 50 - Jacarepaguá, Rio de Janeiro - RJ",R$ 2.200 /Mês,R$ 1.450,83 m²,2,3,1
"  Apartamento com  Quarto para Aluguel, 43m²  ","Rua Bela Cintra, 167 - Consolação, São Paulo - SP",R$ 1.749 /Mês,R$ 728,43 m²,1,1,1
"  Apartamento com  Quarto para Aluguel, 47m²  ","Rua Paula Freitas, 33 - Copacabana, Rio de Janeiro - RJ",R$ 1.900 /Mês,R$ 613,47 m²,1,1,--
"  Apartamento com  Quarto para Aluguel, 31m²  ","Rua Torres da Barra, 275 - Água Branca, São Paulo - SP",R$ 1.300 /Mês,R$ 400,31 m²,1,1,--
"  Apartamento com 2 Quartos para Aluguel, 74m²  ","Praia Botafogo, 472 - Botafogo, Rio de Janeiro - RJ",R$ 3.200 /Mês,R$ 710,74 m²,2,2,1
"  Apartamento com 2 Quartos para Aluguel, 56m²  ","Rua São Venceslau, 243 - Vila Guarani (Z Sul), São Paulo - SP",R$ 1.600 /Mês,R$ 730,56 m²,2,2,1
  Apartamento com 3 Quartos para Venda/Aluguel 150m²  ,"Avenida da Invernada, 450 - Vila Congonhas, São Paulo - SP",R$ 4.800 /Mês,R$ 1.650,150 m²,3,4,2
"  Flat com  Quarto para Aluguel, 28m²  ","Rua Bela Cintra, 672 - Consolação, São Paulo - SP",R$ 1.500 /Mês,R$ 800,28 m²,1,1,1
"  Apartamento com 2 Quartos para Aluguel, 66m²  ","Avenida Prefeito Dulcídio Cardoso - Barra da Tijuca, Rio de Janeiro - RJ",R$ 2.300 /Mês,R$ 1.171,66 m²,2,1,1
"  Apartamento com 3 Quartos para Aluguel, 210m²  ","Rua Timóteo da Costa, 815 - Leblon, Rio de Janeiro - RJ",R$ 12.000 /Mês,R$ 1.817,210 m²,3,4,3
  Apartamento com 2 Quartos à Venda/Aluguel 65m²  ,"Avenida Dioguinho, 4740 - Praia do Futuro II, Fortaleza - CE",R$ 180 /Dia,R$ 550,65 m²,2,2,2
"  Apartamento com  Quarto para Aluguel, 57m²  ","Rua Clóvis Bevilacqua, 227 - Jardim Brasil, Campinas - SP",R$ 1.700 /Mês,R$ 580,57 m²,1,1,2
"  Apartamento com 3 Quartos para Aluguel, 75m²  ","Rua Orlando Calixto, 92 - Parque Independência, São Paulo - SP",R$ 1.700 /Mês,R$ 705,75 m²,3,2,2
  Sala/Conjunto com  Quarto à Venda/Aluguel 42m²  ,"Rua Trajano, 182 - Lapa, São Paulo - SP",R$ 1.000 /Mês,,42 m²,1,1,1
"  Apartamento com  Quarto para Aluguel, 29m²  ","Rua Pedro Ivo - Centro, Curitiba - PR",R$ 1.100 /Mês,R$ 200,29 m²,1,1,--
"  Apartamento com 2 Quartos para Aluguel, 50m²  ","Rua Iguaré, 72 - Tatuapé, São Paulo - SP",R$ 1.200 /Mês,R$ 470,50 m²,2,1,1
  Apartamento com  Quarto para Venda/Aluguel 38m²  ,"Rua Doutor João Palma Travassos - Jardim Palma Travassos, Ribeirão Preto - SP",R$ 2.500 /Mês,R$ 360,38 m²,1,1,1
"  Casa com  Quarto para Aluguel, 35m²  ","Rua Soldado João Rodrigues, 112 - Jardim Japão, São Paulo - SP",R$ 750 /Mês,,35 m²,1,1,--
"  Apartamento com 3 Quartos para Aluguel, 112m²  ","Rua Senador Amaral, 260 - Comiteco, Belo Horizonte - MG",R$ 3.190 /Mês,R$ 380,112 m²,3,2,2
"  Apartamento com 2 Quartos para Aluguel, 45m²  ","Rua das Perobeiras - Chácara Santa Maria, São Paulo - SP",R$ 900 /Mês,,45 m²,2,1,1
"  Apartamento com 3 Quartos para Aluguel, 120m²  ","Praça Pirandelo, 21 - Jardim Guanabara, Rio de Janeiro - RJ",R$ 2.800 /Mês,R$ 400,120 m²,3,4,3
"  Apartamento com  Quarto para Aluguel, 56m²  ","Rua Júlio Diniz, 145 - Vila Olímpia, São Paulo - SP",R$ 2.150 /Mês,R$ 753,56 m²,1,2,1
"  Apartamento com 2 Quartos para Aluguel, 77m²  ","Rua Alves Guimarães, 733 - Pinheiros, São Paulo - SP",R$ 3.600 /Mês,R$ 1.180,77 m²,2,3,1
  Flat com  Quarto para Venda/Aluguel 26m²  ,"Avenida Sabiá, , 825 - Indianópolis, São Paulo - SP",R$ 2.000 /Mês,R$ 1.600,26 m²,1,1,1
"  Apartamento com 2 Quartos para Aluguel, 59m²  ","Rua Sapucaí, 210 - Gramado, Cotia - SP",R$ 1.900 /Mês,R$ 560,59 m²,2,2,1
"  Apartamento com  Quarto para Aluguel, 39m²  ","Rua Bartolomeu Portela, 25 - Botafogo, Rio de Janeiro - RJ",R$ 1.500 /Mês,R$ 1.150,39 m²,1,1,1
"  Apartamento com  Quarto para Aluguel, 56m²  ","Rua Carlos Sampaio, 157 - Bela Vista, São Paulo - SP",R$ 1.660 /Mês,R$ 1.550,56 m²,1,1,1
"  Apartamento com 3 Quartos para Aluguel, 72m²  ","Avenida Engenheiro Heitor Antônio Eiras Garcia, 400 - Jardim Esmeralda, São Paulo - SP",R$ 1.400 /Mês,R$ 618,72 m²,3,1,1
